Date : 2023-01-21 11:36:14
Directory : /home/amit/buffer-ui
Total : 821 files,  77642 codes, 3788 comments, 3115 blanks, all 84545 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/amit/buffer-ui/public/static/datafeeds/udf/src/quotes-provider.ts                                                   | TypeScript         |         33 |          0 |          5 |         38 |
| /home/amit/buffer-ui/public/static/datafeeds/udf/src/quotes-pulse-provider.ts                                             | TypeScript         |         69 |          0 |         17 |         86 |
| /home/amit/buffer-ui/public/static/datafeeds/udf/src/requester.ts                                                         | TypeScript         |         30 |          1 |          9 |         40 |
| /home/amit/buffer-ui/public/static/datafeeds/udf/src/symbols-storage.ts                                                   | TypeScript         |        244 |          6 |         52 |        302 |
| /home/amit/buffer-ui/public/static/datafeeds/udf/src/udf-compatible-datafeed-base.ts                                      | TypeScript         |        306 |          7 |         57 |        370 |
| /home/amit/buffer-ui/public/static/datafeeds/udf/src/udf-compatible-datafeed.ts                                           | TypeScript         |         10 |          0 |          2 |         12 |
| /home/amit/buffer-ui/public/static/datafeeds/udf/tsconfig.json                                                            | JSON with Comments |         25 |          0 |          1 |         26 |
| /home/amit/buffer-ui/public/wallets/coin98.svg                                                                            | XML                |          9 |          0 |          1 |         10 |
| /home/amit/buffer-ui/public/wallets/coinbase.svg                                                                          | XML                |          9 |          0 |          1 |         10 |
| /home/amit/buffer-ui/public/wallets/metamask.svg                                                                          | XML                |          9 |          0 |          1 |         10 |
| /home/amit/buffer-ui/public/wallets/tally_ho.svg                                                                          | XML                |          9 |          0 |          1 |         10 |
| /home/amit/buffer-ui/public/wallets/trust_wallet.svg                                                                      | XML                |          3 |          0 |          1 |          4 |
| /home/amit/buffer-ui/public/wallets/wallet_connect.svg                                                                    | XML                |          1 |          0 |          0 |          1 |
| /home/amit/buffer-ui/src/ABIs/BFR.json                                                                                    | JSON               |        686 |          0 |          0 |        686 |
| /home/amit/buffer-ui/src/ABIs/BLP.json                                                                                    | JSON               |      1,154 |          0 |          0 |      1,154 |
| /home/amit/buffer-ui/src/ABIs/BufferBinaryIBFRPoolBinaryV2.json                                                           | JSON               |      1,193 |          0 |          0 |      1,193 |
| /home/amit/buffer-ui/src/ABIs/EsBFR.json                                                                                  | JSON               |        686 |          0 |          0 |        686 |
| /home/amit/buffer-ui/src/ABIs/Multicall.json                                                                              | JSON               |        165 |          0 |          1 |        166 |
| /home/amit/buffer-ui/src/ABIs/Multicallv1.json                                                                            | JSON               |        141 |          0 |          1 |        142 |
| /home/amit/buffer-ui/src/ABIs/Multicallv2.json                                                                            | JSON               |        141 |          0 |          0 |        141 |
| /home/amit/buffer-ui/src/ABIs/PriceProvider.json                                                                          | JSON               |        528 |          0 |         19 |        547 |
| /home/amit/buffer-ui/src/ABIs/RewardRouterV2.json                                                                         | JSON               |        661 |          0 |          0 |        661 |
| /home/amit/buffer-ui/src/ABIs/RewardTracker.json                                                                          | JSON               |        911 |          0 |          0 |        911 |
| /home/amit/buffer-ui/src/ABIs/Token.json                                                                                  | JSON               |        338 |          0 |          0 |        338 |
| /home/amit/buffer-ui/src/ABIs/Vester.json                                                                                 | JSON               |      1,024 |          0 |          0 |      1,024 |
| /home/amit/buffer-ui/src/App.tsx                                                                                          | TypeScript React   |         92 |          0 |          4 |         96 |
| /home/amit/buffer-ui/src/AppStyles.ts                                                                                     | TypeScript         |         46 |          0 |          5 |         51 |
| /home/amit/buffer-ui/src/Config/axios.ts                                                                                  | TypeScript         |         43 |          0 |          6 |         49 |
| /home/amit/buffer-ui/src/Config/getTabs.ts                                                                                | TypeScript         |         70 |         12 |          3 |         85 |
| /home/amit/buffer-ui/src/Config/globalAtoms.ts                                                                            | TypeScript         |          4 |          0 |          2 |          6 |
| /home/amit/buffer-ui/src/Config/index.ts                                                                                  | TypeScript         |        162 |         10 |          9 |        181 |
| /home/amit/buffer-ui/src/Config/wagmiClient.ts                                                                            | TypeScript         |         51 |          0 |          5 |         56 |
| /home/amit/buffer-ui/src/Hooks/Contracts/useLiquidityContract.tsx                                                         | TypeScript React   |         73 |          9 |          6 |         88 |
| /home/amit/buffer-ui/src/Hooks/Contracts/useNFTContract.tsx                                                               | TypeScript React   |         18 |         17 |          5 |         40 |
| /home/amit/buffer-ui/src/Hooks/Utilities/useClickAway.tsx                                                                 | TypeScript React   |         15 |          1 |          2 |         18 |
| /home/amit/buffer-ui/src/Hooks/Utilities/useDateFormatter.ts                                                              | TypeScript         |         34 |          3 |          7 |         44 |
| /home/amit/buffer-ui/src/Hooks/Utilities/useDeboncedEffect.tsx                                                            | TypeScript React   |          7 |          0 |          2 |          9 |
| /home/amit/buffer-ui/src/Hooks/Utilities/useOpenConnectionDrawer.ts                                                       | TypeScript         |         31 |          0 |          5 |         36 |
| /home/amit/buffer-ui/src/Hooks/Utilities/useStopWatch.ts                                                                  | TypeScript         |        102 |          0 |          8 |        110 |
| /home/amit/buffer-ui/src/Hooks/Utilities/useTImer.ts                                                                      | TypeScript         |          7 |          0 |          2 |          9 |
| /home/amit/buffer-ui/src/Hooks/Utilities/useTimeout.tsx                                                                   | TypeScript React   |         23 |          0 |          8 |         31 |
| /home/amit/buffer-ui/src/Hooks/Utilities/useToggle.ts                                                                     | TypeScript         |          5 |          0 |          3 |          8 |
| /home/amit/buffer-ui/src/Hooks/Utilities/useWriteCallValidations.tsx                                                      | TypeScript React   |         30 |          0 |          4 |         34 |
| /home/amit/buffer-ui/src/Hooks/useActiveChain.ts                                                                          | TypeScript         |         12 |          0 |          4 |         16 |
| /home/amit/buffer-ui/src/Hooks/useAheadTrades.ts                                                                          | TypeScript         |        287 |         21 |         18 |        326 |
| /home/amit/buffer-ui/src/Hooks/useClickAway.ts                                                                            | TypeScript         |         17 |          0 |          2 |         19 |
| /home/amit/buffer-ui/src/Hooks/useGenericHook.tsx                                                                         | TypeScript React   |         62 |          3 |          8 |         73 |
| /home/amit/buffer-ui/src/Hooks/useNFTGraph.ts                                                                             | TypeScript         |         58 |          1 |          6 |         65 |
| /home/amit/buffer-ui/src/Hooks/useOpenConnectionDrawer.ts                                                                 | TypeScript         |         31 |          0 |          5 |         36 |
| /home/amit/buffer-ui/src/Hooks/useQuery.ts                                                                                | TypeScript         |          6 |          0 |          3 |          9 |
| /home/amit/buffer-ui/src/Hooks/useUserAccount.ts                                                                          | TypeScript         |         10 |          0 |          2 |         12 |
| /home/amit/buffer-ui/src/Hooks/useWalletConnect.ts                                                                        | TypeScript         |         44 |         11 |          6 |         61 |
| /home/amit/buffer-ui/src/Hooks/useWriteCall.ts                                                                            | TypeScript         |        177 |         13 |         17 |        207 |
| /home/amit/buffer-ui/src/Interfaces/interfaces.ts                                                                         | TypeScript         |         21 |          0 |          1 |         22 |
| /home/amit/buffer-ui/src/Providers/configuredChains.ts                                                                    | TypeScript         |         37 |          0 |          3 |         40 |
| /home/amit/buffer-ui/src/Providers/index.tsx                                                                              | TypeScript React   |        103 |          2 |          5 |        110 |
| /home/amit/buffer-ui/src/Providers/styles.ts                                                                              | TypeScript         |         46 |          0 |          5 |         51 |
| /home/amit/buffer-ui/src/Providers/wagmiClient.tsx                                                                        | TypeScript React   |         62 |          5 |          6 |         73 |
| /home/amit/buffer-ui/src/SVG/Elements/BackButtonHalf.tsx                                                                  | TypeScript React   |         16 |          0 |          3 |         19 |
| /home/amit/buffer-ui/src/SVG/Elements/BufferLogo.tsx                                                                      | TypeScript React   |         18 |          0 |          3 |         21 |
| /home/amit/buffer-ui/src/SVG/Elements/Chart.tsx                                                                           | TypeScript React   |         32 |          0 |          3 |         35 |
| /home/amit/buffer-ui/src/SVG/Elements/Closelogo.tsx                                                                       | TypeScript React   |         25 |          0 |          3 |         28 |
| /home/amit/buffer-ui/src/SVG/Elements/CopyIcon.tsx                                                                        | TypeScript React   |         20 |          0 |          2 |         22 |
| /home/amit/buffer-ui/src/SVG/Elements/DDIcon.tsx                                                                          | TypeScript React   |         18 |          0 |          3 |         21 |
| /home/amit/buffer-ui/src/SVG/Elements/Disconnect.tsx                                                                      | TypeScript React   |         19 |          0 |          3 |         22 |
| /home/amit/buffer-ui/src/SVG/Elements/DownIcon.tsx                                                                        | TypeScript React   |         19 |          0 |          3 |         22 |
| /home/amit/buffer-ui/src/SVG/Elements/DropDownArrow.tsx                                                                   | TypeScript React   |         13 |          0 |          1 |         14 |
| /home/amit/buffer-ui/src/SVG/Elements/EarnIcon.tsx                                                                        | TypeScript React   |         45 |          0 |          1 |         46 |
| /home/amit/buffer-ui/src/SVG/Elements/EditIcon.tsx                                                                        | TypeScript React   |         18 |          0 |          3 |         21 |
| /home/amit/buffer-ui/src/SVG/Elements/ErrorIcon.tsx                                                                       | TypeScript React   |         28 |          0 |          3 |         31 |
| /home/amit/buffer-ui/src/SVG/Elements/ErrorIconSmall.tsx                                                                  | TypeScript React   |         11 |          0 |          3 |         14 |
| /home/amit/buffer-ui/src/SVG/Elements/FailedSuccess.tsx                                                                   | TypeScript React   |         27 |          0 |          3 |         30 |
| /home/amit/buffer-ui/src/SVG/Elements/FailureIcon.tsx                                                                     | TypeScript React   |         19 |          0 |          3 |         22 |
| /home/amit/buffer-ui/src/SVG/Elements/GlobeIcon.tsx                                                                       | TypeScript React   |         11 |          0 |          3 |         14 |
| /home/amit/buffer-ui/src/SVG/Elements/GridViewIcon.tsx                                                                    | TypeScript React   |         46 |          0 |          3 |         49 |
| /home/amit/buffer-ui/src/SVG/Elements/InfoIcon.tsx                                                                        | TypeScript React   |         78 |          0 |          5 |         83 |
| /home/amit/buffer-ui/src/SVG/Elements/LinkTargetIcon.tsx                                                                  | TypeScript React   |         18 |          0 |          3 |         21 |
| /home/amit/buffer-ui/src/SVG/Elements/ListViewIcon.tsx                                                                    | TypeScript React   |         35 |          0 |          3 |         38 |
| /home/amit/buffer-ui/src/SVG/Elements/MenuLogo.tsx                                                                        | TypeScript React   |         31 |          0 |          3 |         34 |
| /home/amit/buffer-ui/src/SVG/Elements/Moneybag.tsx                                                                        | TypeScript React   |         28 |          0 |          3 |         31 |
| /home/amit/buffer-ui/src/SVG/Elements/NoMatchFound.tsx                                                                    | TypeScript React   |         15 |          0 |          3 |         18 |
| /home/amit/buffer-ui/src/SVG/Elements/NotificationCount.tsx                                                               | TypeScript React   |          7 |          0 |          3 |         10 |
| /home/amit/buffer-ui/src/SVG/Elements/PNLL.tsx                                                                            | TypeScript React   |         25 |          0 |          3 |         28 |
| /home/amit/buffer-ui/src/SVG/Elements/Payout.jsx                                                                          | JavaScript React   |         18 |          0 |          3 |         21 |
| /home/amit/buffer-ui/src/SVG/Elements/PeckSheildLogo.tsx                                                                  | TypeScript React   |         26 |          0 |          3 |         29 |
| /home/amit/buffer-ui/src/SVG/Elements/RetryIcon.tsx                                                                       | TypeScript React   |         24 |          0 |          3 |         27 |
| /home/amit/buffer-ui/src/SVG/Elements/Search.tsx                                                                          | TypeScript React   |         18 |          0 |          3 |         21 |
| /home/amit/buffer-ui/src/SVG/Elements/ShareIconComp.tsx                                                                   | TypeScript React   |         18 |          0 |          3 |         21 |
| /home/amit/buffer-ui/src/SVG/Elements/ShieldIcon.tsx                                                                      | TypeScript React   |         78 |          0 |          1 |         79 |
| /home/amit/buffer-ui/src/SVG/Elements/SuccessIcon.tsx                                                                     | TypeScript React   |         27 |          0 |          3 |         30 |
| /home/amit/buffer-ui/src/SVG/Elements/SwapIcon.tsx                                                                        | TypeScript React   |         17 |          0 |          3 |         20 |
| /home/amit/buffer-ui/src/SVG/Elements/TimerIcon.tsx                                                                       | TypeScript React   |         24 |          0 |          3 |         27 |
| /home/amit/buffer-ui/src/SVG/Elements/ToastCrossIcon.tsx                                                                  | TypeScript React   |         11 |          0 |          3 |         14 |
| /home/amit/buffer-ui/src/SVG/Elements/TofuNFT.tsx                                                                         | TypeScript React   |         16 |          0 |          3 |         19 |
| /home/amit/buffer-ui/src/SVG/Elements/Unseen.tsx                                                                          | TypeScript React   |          8 |          0 |          3 |         11 |
| /home/amit/buffer-ui/src/SVG/Elements/UpIcon.tsx                                                                          | TypeScript React   |         19 |          0 |          3 |         22 |
| /home/amit/buffer-ui/src/SVG/Elements/YellowWarning.tsx                                                                   | TypeScript React   |         20 |          0 |          3 |         23 |
| /home/amit/buffer-ui/src/SVG/Elements/sidebarCollpaseIcon.tsx                                                             | TypeScript React   |         23 |          1 |          3 |         27 |
| /home/amit/buffer-ui/src/SVG/Elements/usdc.tsx                                                                            | TypeScript React   |         33 |          2 |          4 |         39 |
| /home/amit/buffer-ui/src/SVG/PeckShield.tsx                                                                               | TypeScript React   |         29 |          0 |          3 |         32 |
| /home/amit/buffer-ui/src/SVG/SidebarIcons/CallBoosters.tsx                                                                | TypeScript React   |         33 |          0 |          4 |         37 |
| /home/amit/buffer-ui/src/SVG/SidebarIcons/Doccumentation.tsx                                                              | TypeScript React   |         20 |          0 |          3 |         23 |
| /home/amit/buffer-ui/src/SVG/SidebarIcons/Home.tsx                                                                        | TypeScript React   |         19 |          0 |          4 |         23 |
| /home/amit/buffer-ui/src/SVG/SidebarIcons/Leaderboard.tsx                                                                 | TypeScript React   |         23 |          0 |          3 |         26 |
| /home/amit/buffer-ui/src/SVG/SidebarIcons/Liquidity.tsx                                                                   | TypeScript React   |        100 |          0 |          4 |        104 |
| /home/amit/buffer-ui/src/SVG/SidebarIcons/Options.tsx                                                                     | TypeScript React   |         51 |          0 |          3 |         54 |
| /home/amit/buffer-ui/src/SVG/SidebarIcons/PG.tsx                                                                          | TypeScript React   |         14 |          0 |          3 |         17 |
| /home/amit/buffer-ui/src/SVG/SidebarIcons/PGCard.tsx                                                                      | TypeScript React   |         36 |          0 |          3 |         39 |
| /home/amit/buffer-ui/src/SVG/SidebarIcons/Referralcon.tsx                                                                 | TypeScript React   |         49 |          0 |          3 |         52 |
| /home/amit/buffer-ui/src/SVG/SidebarIcons/RevenueSharing.tsx                                                              | TypeScript React   |         25 |          0 |          2 |         27 |
| /home/amit/buffer-ui/src/SVG/SidebarIcons/Staking.tsx                                                                     | TypeScript React   |         28 |          0 |          3 |         31 |
| /home/amit/buffer-ui/src/SVG/buttons/Chart.tsx                                                                            | TypeScript React   |         12 |          0 |          3 |         15 |
| /home/amit/buffer-ui/src/SVG/buttons/back.tsx                                                                             | TypeScript React   |         11 |          0 |          3 |         14 |
| /home/amit/buffer-ui/src/SVG/buttons/cross.tsx                                                                            | TypeScript React   |         19 |          0 |          3 |         22 |
| /home/amit/buffer-ui/src/SVG/buttons/enter.tsx                                                                            | TypeScript React   |         12 |          0 |          3 |         15 |
| /home/amit/buffer-ui/src/SVG/buttons/enterDisabled.tsx                                                                    | TypeScript React   |         12 |          0 |          3 |         15 |
| /home/amit/buffer-ui/src/SVG/buttons/exit.tsx                                                                             | TypeScript React   |         12 |          0 |          3 |         15 |
| /home/amit/buffer-ui/src/SVG/frontArrow.tsx                                                                               | TypeScript React   |         14 |          0 |          3 |         17 |
| /home/amit/buffer-ui/src/TradingView/ChartTypeSelectionDD.tsx                                                             | TypeScript React   |        149 |         30 |          4 |        183 |
| /home/amit/buffer-ui/src/TradingView/TV.tsx                                                                               | TypeScript React   |        473 |         47 |         37 |        557 |
| /home/amit/buffer-ui/src/TradingView/TZ.json                                                                              | JSON               |      2,390 |          0 |          0 |      2,390 |
| /home/amit/buffer-ui/src/TradingView/useDataFeed.tsx                                                                      | TypeScript React   |        366 |        469 |         23 |        858 |
| /home/amit/buffer-ui/src/Utils/Contract/getContract.tsx                                                                   | TypeScript React   |          6 |          0 |          2 |          8 |
| /home/amit/buffer-ui/src/Utils/Contract/getError.tsx                                                                      | TypeScript React   |         45 |          1 |          3 |         49 |
| /home/amit/buffer-ui/src/Utils/Contract/getNodeUrl.ts                                                                     | TypeScript         |          9 |          1 |          3 |         13 |
| /home/amit/buffer-ui/src/Utils/Contract/getProvider.tsx                                                                   | TypeScript React   |          7 |          3 |          3 |         13 |
| /home/amit/buffer-ui/src/Utils/Contract/multiContract.ts                                                                  | TypeScript         |        286 |          2 |          6 |        294 |
| /home/amit/buffer-ui/src/Utils/DOMutils.ts                                                                                | TypeScript         |         22 |          5 |          4 |         31 |
| /home/amit/buffer-ui/src/Utils/Dates/displayDateTime.ts                                                                   | TypeScript         |         73 |          0 |          8 |         81 |
| /home/amit/buffer-ui/src/Utils/DisplayDate.tsx                                                                            | TypeScript React   |         33 |          0 |          2 |         35 |
| /home/amit/buffer-ui/src/Utils/Formulas/blackscholes.js                                                                   | JavaScript         |         29 |          9 |          4 |         42 |
| /home/amit/buffer-ui/src/Utils/JSUtils/createArray.ts                                                                     | TypeScript         |          2 |          0 |          2 |          4 |
| /home/amit/buffer-ui/src/Utils/JSUtils/isCharPresent.tsx                                                                  | TypeScript React   |          8 |          0 |          1 |          9 |
| /home/amit/buffer-ui/src/Utils/NumString/eToWide.tsx                                                                      | TypeScript React   |         88 |          9 |          7 |        104 |
| /home/amit/buffer-ui/src/Utils/NumString/formatNumStr.tsx                                                                 | TypeScript React   |         29 |          7 |          3 |         39 |
| /home/amit/buffer-ui/src/Utils/NumString/getSignificantNum.tsx                                                            | TypeScript React   |         64 |          6 |          3 |         73 |
| /home/amit/buffer-ui/src/Utils/NumString/index.tsx                                                                        | TypeScript React   |          7 |          0 |          1 |          8 |
| /home/amit/buffer-ui/src/Utils/NumString/kpiChartPoints.ts                                                                | TypeScript         |         61 |         22 |          6 |         89 |
| /home/amit/buffer-ui/src/Utils/NumString/numtostr.tsx                                                                     | TypeScript React   |         12 |          0 |          1 |         13 |
| /home/amit/buffer-ui/src/Utils/NumString/putChartPoints.ts                                                                | TypeScript         |         38 |          0 |          4 |         42 |
| /home/amit/buffer-ui/src/Utils/NumString/stringArithmatics.tsx                                                            | TypeScript React   |         89 |          1 |          2 |         92 |
| /home/amit/buffer-ui/src/Utils/NumString/toFixed.tsx                                                                      | TypeScript React   |         12 |          3 |          5 |         20 |
| /home/amit/buffer-ui/src/Utils/PosthogCaptureAccount.tsx                                                                  | TypeScript React   |          4 |          0 |          2 |          6 |
| /home/amit/buffer-ui/src/Utils/Staking/utils.ts                                                                           | TypeScript         |         62 |          8 |          6 |         76 |
| /home/amit/buffer-ui/src/Utils/StringToBytes32.ts                                                                         | TypeScript         |          9 |          0 |          1 |         10 |
| /home/amit/buffer-ui/src/Utils/Time.ts                                                                                    | TypeScript         |         62 |          8 |          6 |         76 |
| /home/amit/buffer-ui/src/Utils/apis/api.ts                                                                                | TypeScript         |        121 |          2 |          4 |        127 |
| /home/amit/buffer-ui/src/Utils/apis/contextInitializers.ts                                                                | TypeScript         |         38 |          0 |          5 |         43 |
| /home/amit/buffer-ui/src/Utils/apis/getAbi.ts                                                                             | TypeScript         |          8 |          0 |          2 |         10 |
| /home/amit/buffer-ui/src/Utils/apis/getMetaData.ts                                                                        | TypeScript         |         32 |          0 |          2 |         34 |
| /home/amit/buffer-ui/src/Utils/appControls/changeRoute.ts                                                                 | TypeScript         |         12 |          0 |          1 |         13 |
| /home/amit/buffer-ui/src/Utils/appControls/convertibleChartPoints.ts                                                      | TypeScript         |         51 |          0 |          3 |         54 |
| /home/amit/buffer-ui/src/Utils/appControls/getBrowserName.ts                                                              | TypeScript         |         18 |          0 |          2 |         20 |
| /home/amit/buffer-ui/src/Utils/appControls/getSupportedPages.ts                                                           | TypeScript         |         15 |          0 |          2 |         17 |
| /home/amit/buffer-ui/src/Utils/appControls/mobileDrawerHandlers.ts                                                        | TypeScript         |         44 |         20 |         12 |         76 |
| /home/amit/buffer-ui/src/Utils/appControls/pageSupported.ts                                                               | TypeScript         |         15 |          1 |          4 |         20 |
| /home/amit/buffer-ui/src/Utils/appControls/redirectChain.ts                                                               | TypeScript         |          4 |          0 |          3 |          7 |
| /home/amit/buffer-ui/src/Utils/appControls/redirectRoute.ts                                                               | TypeScript         |          4 |          0 |          3 |          7 |
| /home/amit/buffer-ui/src/Utils/appControls/removeMargin.ts                                                                | TypeScript         |         32 |          0 |          3 |         35 |
| /home/amit/buffer-ui/src/Utils/appControls/replaceAsset.ts                                                                | TypeScript         |          6 |          0 |          1 |          7 |
| /home/amit/buffer-ui/src/Utils/bigNumber.ts                                                                               | TypeScript         |         14 |          1 |          5 |         20 |
| /home/amit/buffer-ui/src/Utils/captureScreenShot.ts                                                                       | TypeScript         |          3 |          0 |          1 |          4 |
| /home/amit/buffer-ui/src/Utils/chartDataPoints.ts                                                                         | TypeScript         |         68 |          0 |          6 |         74 |
| /home/amit/buffer-ui/src/Utils/copyToClipBoard.ts                                                                         | TypeScript         |         30 |          2 |          1 |         33 |
| /home/amit/buffer-ui/src/Utils/copyToClipboard.ts                                                                         | TypeScript         |         30 |          2 |          1 |         33 |
| /home/amit/buffer-ui/src/Utils/display.tsx                                                                                | TypeScript React   |         28 |          0 |          5 |         33 |
| /home/amit/buffer-ui/src/Utils/getDeepCopy.ts                                                                             | TypeScript         |         13 |          0 |          1 |         14 |
| /home/amit/buffer-ui/src/Utils/getErrorFromCode.ts                                                                        | TypeScript         |         57 |          0 |          1 |         58 |
| /home/amit/buffer-ui/src/Utils/getLogs.ts                                                                                 | TypeScript         |         68 |          0 |          2 |         70 |
| /home/amit/buffer-ui/src/Utils/isUserPaused.ts                                                                            | TypeScript         |         52 |         18 |         11 |         81 |
| /home/amit/buffer-ui/src/Utils/kpiChartPoints.ts                                                                          | TypeScript         |         47 |         10 |          3 |         60 |
| /home/amit/buffer-ui/src/Utils/logger.tsx                                                                                 | TypeScript React   |          4 |          0 |          1 |          5 |
| /home/amit/buffer-ui/src/Utils/memoize.tsx                                                                                | TypeScript React   |         10 |          0 |          1 |         11 |
| /home/amit/buffer-ui/src/Utils/putChartPoints.ts                                                                          | TypeScript         |         49 |         27 |          5 |         81 |
| /home/amit/buffer-ui/src/Utils/speedtest.js                                                                               | JavaScript         |         21 |          0 |          4 |         25 |
| /home/amit/buffer-ui/src/Utils/successChartPoints.ts                                                                      | TypeScript         |         77 |          1 |          7 |         85 |
| /home/amit/buffer-ui/src/Utils/useIbfrBalance.ts                                                                          | TypeScript         |         28 |          1 |          5 |         34 |
| /home/amit/buffer-ui/src/Utils/useMultiCallSWR.tsx                                                                        | TypeScript React   |         26 |          0 |          4 |         30 |
| /home/amit/buffer-ui/src/Utils/useMulticall.ts                                                                            | TypeScript         |         26 |          1 |          3 |         30 |
| /home/amit/buffer-ui/src/Utils/useReadCall.ts                                                                             | TypeScript         |         50 |          2 |          5 |         57 |
| /home/amit/buffer-ui/src/Utils/web3react/wallet.ts                                                                        | TypeScript         |         78 |         13 |          6 |         97 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/ABI/ConfigAbi.json                                                           | JSON               |          1 |          0 |          0 |          1 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/ABI/MaxTrade.json                                                            | JSON               |         80 |          0 |          1 |         81 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/ABI/OptionMeta.json                                                          | JSON               |        779 |          0 |          0 |        779 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/ABI/configABI.json                                                           | JSON               |          1 |          0 |          0 |          1 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/ABI/optionsABI.json                                                          | JSON               |        865 |          0 |          1 |        866 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/ABI/poolABI.json                                                             | JSON               |        654 |          0 |          1 |        655 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/ABI/routerABI.json                                                           | JSON               |        501 |          0 |          1 |        502 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Address.ts                                                                   | TypeScript         |         19 |          0 |          3 |         22 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/ComingSoonModal.tsx                                                          | TypeScript React   |         20 |          5 |          4 |         29 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Components/BinaryInfo.tsx                                                    | TypeScript React   |        109 |          0 |          7 |        116 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Components/Mobile/Navbar.tsx                                                 | TypeScript React   |         36 |          0 |          3 |         39 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Components/Mobile/Screens.tsx                                                | TypeScript React   |         50 |          1 |          1 |         52 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Components/Mobile/buyOptionsTab.tsx                                          | TypeScript React   |         40 |          1 |          3 |         44 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Components/Mobile/historyTab.tsx                                             | TypeScript React   |        310 |          4 |         18 |        332 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Components/SlippageModal.tsx                                                 | TypeScript React   |        170 |          8 |          6 |        184 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Components/approveModal.tsx                                                  | TypeScript React   |        150 |         22 |          5 |        177 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Components/shareModal.tsx                                                    | TypeScript React   |        315 |         19 |         20 |        354 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Components/stats.tsx                                                         | TypeScript React   |         44 |          4 |          5 |         53 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Favourites/AssetTable.tsx                                                    | TypeScript React   |        150 |          1 |         10 |        161 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Favourites/AssetTypeSelector.tsx                                             | TypeScript React   |         47 |          7 |          3 |         57 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Favourites/FavouriteAssetDD.tsx                                              | TypeScript React   |         87 |          1 |          4 |         92 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Favourites/Favourites.tsx                                                    | TypeScript React   |        204 |          8 |         11 |        223 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Favourites/LastDayChange.tsx                                                 | TypeScript React   |         21 |          0 |          2 |         23 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Favourites/Utils/getAssetTypes.ts                                            | TypeScript         |          9 |          0 |          2 |         11 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Favourites/Utils/getFavouriteKey.ts                                          | TypeScript         |          9 |          0 |          2 |         11 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Favourites/Utils/getFilteredAssets.ts                                        | TypeScript         |         40 |          1 |          3 |         44 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Favourites/style.ts                                                          | TypeScript         |        162 |          9 |          5 |        176 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Hooks/BinaryOptionsABI.json                                                  | JSON               |      1,680 |          0 |          0 |      1,680 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Hooks/useActiveAssetState.ts                                                 | TypeScript         |        238 |         41 |         20 |        299 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Hooks/useBinaryActions.tsx                                                   | TypeScript React   |        216 |          7 |         13 |        236 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Hooks/useBinaryActiveChainId.ts                                              | TypeScript         |          6 |          0 |          2 |          8 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Hooks/useBinaryHistory.ts                                                    | TypeScript         |         83 |         20 |          7 |        110 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Hooks/useFavouritesFns.ts                                                    | TypeScript         |         80 |          0 |         11 |         91 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Hooks/useGetDataFromConfig.ts                                                | TypeScript         |         11 |          0 |          2 |         13 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Hooks/useHostName.ts                                                         | TypeScript         |         10 |          0 |          2 |         12 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Hooks/useIsMerketOpen.tsx                                                    | TypeScript React   |         19 |          0 |          2 |         21 |
| /home/amit/buffer-ui/src/Views/BinaryOptions/Hooks/useLatest24hrChange.ts                                                 | TypeScript         |         38 |          2 |          7 |         47 |
